,idUF,Mun,Est,Trab,Atv,Rend,idUFNum,Estado
118,43,00034,5,2,,,43,Rio Grande do Sul
119,43,00034,1,1,612,600.0,43,Rio Grande do Sul
120,43,00034,5,2,,,43,Rio Grande do Sul
121,43,00034,1,2,,,43,Rio Grande do Sul
122,43,00034,5,1,832,500.0,43,Rio Grande do Sul
123,43,00034,5,1,911,500.0,43,Rio Grande do Sul
124,43,00034,1,1,612,600.0,43,Rio Grande do Sul
125,43,00034,1,1,612,600.0,43,Rio Grande do Sul
126,43,00034,5,2,,,43,Rio Grande do Sul
127,43,00034,5,1,234,950.0,43,Rio Grande do Sul
128,43,00034,3,1,723,1800.0,43,Rio Grande do Sul
129,43,00034,1,2,,,43,Rio Grande do Sul
130,43,00034,1,2,921,,43,Rio Grande do Sul
131,43,00034,1,1,522,500.0,43,Rio Grande do Sul
132,43,00034,1,2,,,43,Rio Grande do Sul
133,43,00034,1,2,,,43,Rio Grande do Sul
134,43,00034,2,1,612,700.0,43,Rio Grande do Sul
135,43,00034,4,2,,,43,Rio Grande do Sul
136,43,00034,5,2,,,43,Rio Grande do Sul
137,43,00034,2,1,612,300.0,43,Rio Grande do Sul
138,43,00034,1,2,611,,43,Rio Grande do Sul
139,43,00034,5,1,000,1000.0,43,Rio Grande do Sul
140,43,00034,5,2,611,,43,Rio Grande do Sul
141,43,00034,1,2,611,,43,Rio Grande do Sul
142,43,00034,1,2,,,43,Rio Grande do Sul
143,43,00034,1,2,,,43,Rio Grande do Sul
144,43,00034,5,1,612,520.0,43,Rio Grande do Sul
145,43,00034,5,2,,,43,Rio Grande do Sul
146,43,00034,5,2,,,43,Rio Grande do Sul
147,43,00034,5,2,,,43,Rio Grande do Sul
148,43,00034,5,2,,,43,Rio Grande do Sul
149,43,00034,5,1,021,600.0,43,Rio Grande do Sul
150,43,00034,5,1,921,500.0,43,Rio Grande do Sul
151,43,00034,4,2,,,43,Rio Grande do Sul
152,43,00034,5,2,,,43,Rio Grande do Sul
153,43,00034,1,2,,,43,Rio Grande do Sul
154,43,00034,1,1,341,800.0,43,Rio Grande do Sul
155,43,00034,5,1,613,300.0,43,Rio Grande do Sul
156,43,00034,5,2,,,43,Rio Grande do Sul
157,43,00034,5,1,612,1000.0,43,Rio Grande do Sul
158,43,00034,5,1,921,510.0,43,Rio Grande do Sul
159,43,00034,1,2,,,43,Rio Grande do Sul
160,43,00034,,,,,43,Rio Grande do Sul
161,43,00034,,,,,43,Rio Grande do Sul
